,,,Mean RPM EGF addition on Vemurafenib (1uM) and Cobimetinib (1uM) 24hrs pretreatment ,,,,,,,,Std RPM EGF addition on Vemurafenib (1uM) and Cobimetinib (1uM) 24hrs pretreatment ,,,,,,
,,,Time (h),,,,,,,,Time (h),,,,,,
ENSG00000157911,PEX10,,27.696,27.1972,27.5482,28.0864,26.6996,26.8841,28.5724,,0.97226,1.301,2.8086,3.1036,1.5313,1.6599,2.0669
ENSG00000157881,PANK4,,7.597,7.7607,8.7196,6.8782,7.6303,7.2778,6.8376,,0.80144,0.85843,0.47577,0.69012,0.27077,1.0382,1.2627
ENSG00000157873,TNFRSF14,,3.1712,3.2404,2.9634,3.2044,2.8539,2.7554,2.6286,,0.57218,0.26761,1.007,0.92897,0.62963,0.31487,0.26257
ENSG00000157870,FAM213B,,1.9632,1.6565,2.1393,1.9913,1.3118,1.7713,1.8323,,0.30565,0.11518,0.37709,0.80819,0.53842,0.17482,0.65816
ENSG00000162591,MEGF6,,56.38,58.1319,53.8943,52.9116,51.3905,56.5027,51.705,,11.4134,10.2743,9.1802,6.2678,10.6944,11.3092,5.9171
ENSG00000238260,AL513320.1,,0.71004,0.26177,0.50678,0.78773,0.44684,0.68115,0.42611,,0.36579,0.14764,0.21382,0.18297,0.26133,0.084067,0.26268
ENSG00000158109,TPRG1L,,65.7215,65.0508,61.5503,64.7327,66.858,63.4078,64.3453,,2.9532,1.7965,2.4721,2.2427,3.0549,4.1916,6.5628
ENSG00000116213,WRAP73,,43.1226,46.6444,46.8382,47.434,43.6208,45.7611,40.7034,,1.4991,4.3495,4.5518,5.3424,1.36,2.7452,2.8579
ENSG00000078900,TP73,,1.3848,1.1814,1.5987,1.367,1.1473,1.3868,1.2467,,0.41803,0.26498,0.52415,0.25427,0.47624,0.55993,0.55519
ENSG00000227372,TP73-AS1,,22.5192,22.3387,21.9179,24.6117,20.5867,20.5563,19.4711,,3.8053,1.2897,1.8199,1.3043,0.76785,1.9148,0.91759
ENSG00000130764,LRRC47,,84.2854,86.7764,83.9422,88.6344,85.6414,86.3466,86.956,,2.2026,6.6212,3.3783,5.5674,5.4231,6.2186,7.2718
ENSG00000116198,CEP104,,52.3411,52.448,53.5238,52.7121,50.2006,50.3867,52.1676,,3.3472,2.7731,3.7037,4.4581,1.4812,2.345,4.071
ENSG00000169598,DFFB,,13.0732,13.0399,13.2286,14.2585,13.3539,13.0344,13.8449,,1.8028,0.51322,1.3771,1.0904,1.4269,1.4891,1.6367
ENSG00000198912,C1orf174,,16.6569,15.3405,15.5326,15.9847,15.5705,15.5917,15.3596,,2.3097,0.75747,2.1018,0.39009,2.764,1.0732,1.3764
ENSG00000236423,LINC01134,,2.1383,1.5947,1.8817,1.7377,1.5502,1.4373,1.5041,,0.71474,0.57626,0.5213,0.9375,0.82757,0.26866,0.17182
ENSG00000196581,AJAP1,,5.0997,4.9348,5.9584,6.6094,5.8559,5.6868,5.1848,,0.45456,0.20786,0.57076,1.0589,1.3247,0.984,2.0166
ENSG00000131697,NPHP4,,24.0839,24.1976,23.7786,25.1438,24.1188,24.1421,20.9243,,2.0666,1.6226,1.5258,2.3843,1.2144,2.4504,0.94825
ENSG00000069424,KCNAB2,,52.1403,50.0287,51.4304,50.127,49.6656,45.7521,44.7025,,6.0811,2.6051,0.76164,1.8641,2.0821,2.385,2.3955
ENSG00000116254,CHD5,,0.3162,0.48761,0.2738,0.67884,0.43757,0.3696,0.43048,,0.21697,0.094917,0.37021,0.30777,0.31079,0.20941,0.35275
ENSG00000116251,RPL22,,281.4303,288.0707,282.9397,278.2255,284.379,293.6557,292.9237,,14.1945,5.9936,10.4678,8.3302,7.2991,8.108,12.1548
ENSG00000226944,AL031847.1,,0.50535,0.47982,0.29003,0.24515,0.71087,0.60158,0.29824,,0.30687,0.22191,0.21921,0.11073,0.018252,0.24677,0.11011
ENSG00000158286,RNF207,,17.5841,16.4931,17.3925,18.8338,15.9142,18.8972,16.2416,,2.9107,3.6958,1.3746,1.2324,3.5201,2.2051,1.9711
ENSG00000116237,ICMT,,104.986,97.1422,96.3698,100.6969,100.7349,101.3637,100.4021,,5.109,1.1681,4.1707,2.0729,2.5623,5.1121,4.977
