,,,Mean RPM Vemurafenib dose-response 24 hrs,,,,,,,,,Std RPM Vemurafenib dose-response 24 hrs,,,,,,,
,,,Vemurafenib (uM),,,,,,,,,Vemurafenib (uM),,,,,,,
ENSG00000122644,ARL4A,,12.0314,12.0972,9.0403,8.5124,7.1636,6.3388,8.7675,10.9795,,2.042,0.67169,1.6456,0.86253,0.41907,0.94982,1.1232,0.83309
ENSG00000229618,AC011287.1,,1.5988,1.3461,1.6488,2.5985,3.5443,4.232,3.9991,4.5919,,0.50578,0.084549,0.5162,0.84588,0.52744,1.3935,0.77371,0.49724
ENSG00000006468,ETV1,,75.2498,74.9535,84.9992,103.2154,81.3972,48.3962,33.648,32.4399,,5.6246,8.8355,4.8039,6.0266,12.2372,5.9827,2.7828,3.2118
ENSG00000136267,DGKB,,0.090714,0,0.12038,0.20209,0.32159,0.39863,0.36864,0.61978,,0.18143,0,0.16698,0.25828,0.22138,0.42868,0.25741,0.49853
ENSG00000187546,AGMO,,30.5104,31.1876,47.4319,71.9272,69.7964,59.0265,42.5844,16.5631,,3.1886,2.6156,3.2944,5.4606,7.1748,9.1056,4.8418,1.657
ENSG00000106511,MEOX2,,122.9835,123.6236,161.2749,185.1547,155.1072,117.6639,99.3651,70.7104,,10.0994,5.3742,3.1378,15.9938,14.0047,10.0329,6.1448,9.4184
ENSG00000229108,LINC02587,,1.9464,2.1545,2.2693,2.6153,2.9416,2.808,2.1306,1.9111,,0.22091,0.47513,0.39543,0.68641,0.29505,0.062216,0.60276,0.31931
ENSG00000214960,ISPD,,4.118,3.8965,3.5928,4.0994,4.4622,3.6886,3.1934,3.2165,,0.15849,1.0431,0.68876,0.29869,0.43351,0.73663,0.59756,0.30032
ENSG00000106524,ANKMY2,,14.8005,15.4531,16.8435,19.3048,22.7181,22.6663,23.1186,32.0816,,1.724,0.96581,1.7573,1.1162,1.869,1.0378,1.4657,2.5617
ENSG00000136261,BZW2,,185.4837,178.1149,178.9776,181.035,185.936,186.2622,189.6274,192.0688,,6.3456,4.4186,5.6323,10.9813,13.7284,13.8321,7.8549,4.2842
ENSG00000106537,TSPAN13,,157.6507,154.1563,129.5375,83.9768,61.2668,47.7608,43.05,39.8678,,20.0366,19.8829,16.0276,14.9521,4.8741,1.7802,1.133,4.3603
ENSG00000237773,AC073332.1,,0.25962,0.37876,0.36233,0.42464,0.46164,0.5017,0.36627,0.48862,,0.042521,0.29556,0.19389,0.19665,0.27074,0.2665,0.25807,0.16578
ENSG00000106546,AHR,,61.8428,65.2939,70.5193,91.2539,123.595,127.029,133.8173,90.0984,,14.4226,14.1781,8.5726,8.5247,13.2822,18.0834,13.7897,3.2956
ENSG00000071189,SNX13,,54.1036,56.536,66.8867,88.8745,100.6711,107.2029,107.7016,101.7796,,4.0231,3.3466,3.9469,4.1091,2.7124,3.721,2.2591,4.6766
ENSG00000279048,AC080080.1,,0.43834,0.68198,0.76446,1.4426,1.8697,2.0249,1.608,2.3851,,0.08909,0.1422,0.36231,0.17336,0.82877,0.34181,0.40817,0.72656
ENSG00000048052,HDAC9,,11.2134,12.0865,9.9534,11.6222,24.8188,34.5039,27.7423,15.2911,,1.1022,0.5971,1.1908,2.4338,2.7978,2.7336,0.55053,2.6163
ENSG00000122691,TWIST1,,15.8299,16.1973,12.7424,9.0867,7.8348,7.915,8.9666,12.2987,,1.0515,1.8694,1.1369,1.4111,0.42296,1.5893,1.4521,1.505
ENSG00000105849,TWISTNB,,73.3705,74.6256,66.0847,58.1877,51.8257,47.7431,46.7628,46.0085,,5.9447,5.08,8.3023,5.9628,3.0263,2.0485,3.8758,2.957
ENSG00000213860,RPL21P75,,0.58548,0.35286,0.7197,0.78978,0.73137,0.54425,0.66491,0.58078,,0.17336,0.18163,0.21579,0.31058,0.21461,0.16329,0.14347,0.08352
ENSG00000183742,MACC1,,0.047268,0.077818,0.12811,0.64788,0.83385,1.0444,0.97246,0.16621,,0.094536,0.052254,0.15012,0.31899,0.29698,0.30401,0.49905,0.11471
ENSG00000271133,AC004130.1,,1.4432,1.4076,1.313,2.0168,2.876,2.3451,2.8985,2.1382,,0.54275,0.41586,0.50378,0.74339,0.22466,0.48018,0.35085,0.52297
ENSG00000105855,ITGB8,,102.8969,110.4117,134.545,182.8063,266.0098,302.8208,297.3447,243.1418,,20.0481,15.5239,9.5169,11.0306,13.1185,21.1191,6.0974,8.0882
ENSG00000004846,ABCB5,,0,0.026169,0,0.091942,0.19204,0.11948,0.23643,0.23237,,0,0.052338,0,0.061922,0.052986,0.10622,0.14893,0.080365
ENSG00000164651,SP8,,0.78547,0.62654,0.78314,0.85876,1.0224,1.2893,0.8053,1.8453,,0.12349,0.22719,0.6315,0.27772,0.47581,0.56663,0.44417,0.36204
ENSG00000219451,RPL23P8,,0.40265,0.41525,0.49448,0.31883,0.42156,0.38818,0.52037,0.40707,,0.22496,0.17777,0.30128,0.14834,0.21945,0.29438,0.091433,0.19899
ENSG00000105866,SP4,,23.056,23.9073,20.8574,15.9544,12.7568,11.1144,11.2154,10.0591,,4.5042,5.425,1.9425,1.295,1.8855,1.5204,1.7984,0.48684
ENSG00000105877,DNAH11,,1.5479,1.466,1.3673,1.4426,1.8077,1.6945,1.3469,0.61024,,0.32603,0.38325,0.54274,0.17336,0.72798,0.12773,0.38849,0.22235
ENSG00000164649,CDCA7L,,92.7473,91.3747,80.5971,68.9917,59.5057,54.7519,58.1029,68.5419,,4.6754,4.4337,4.1874,6.1482,5.6657,2.6968,3.3669,1.5778
ENSG00000136237,RAPGEF5,,7.1871,6.9175,6.2453,3.9613,3.9415,5.1838,5.9109,5.5741,,0.7928,0.49667,1.3117,0.19122,0.38324,0.53703,0.64852,0.9249
ENSG00000105889,STEAP1B,,18.5616,19.2623,17.377,15.0531,12.4152,11.7527,11.4654,12.2968,,0.47312,0.43307,1.3391,2.2522,0.97038,1.9373,0.88145,0.67274
ENSG00000233476,EEF1A1P6,,3.8325,4.2823,5.2599,5.9055,6.6437,5.1709,6.8897,7.4548,,1.0452,0.5391,0.45396,0.57565,1.2972,0.4372,0.62393,0.26993
ENSG00000196683,TOMM7,,103.8182,102.3115,112.3107,128.768,136.6932,141.8822,148.0193,154.1517,,10.8065,8.7258,9.4724,10.5637,7.578,10.8107,4.1693,5.2941
ENSG00000226329,AC005682.1,,0.026122,0.024147,0,0.21415,0.31316,0.57052,0.43566,0.41525,,0.052244,0.048294,0,0.1071,0.24528,0.18937,0.22925,0.13629
ENSG00000122591,FAM126A,,72.4123,71.1877,74.8241,80.1871,91.6733,95.106,89.7109,82.9428,,5.9183,5.437,3.309,3.5708,3.6166,1.405,3.8598,5.1077
ENSG00000230658,KLHL7-DT,,0.4115,0.48613,0.54235,0.63931,0.91457,0.96811,1.0123,0.87969,,0.15114,0.13469,0.288,0.24876,0.39847,0.29645,0.35018,0.046423
ENSG00000122550,KLHL7,,35.0523,34.4734,35.719,39.8435,48.034,47.9861,49.145,49.6972,,2.825,1.2951,1.7084,1.7656,2.3629,2.1357,0.91077,1.5995
ENSG00000230042,AK3P3,,0.29725,0.35015,0.37391,0.48751,0.077277,0.37887,0.37257,0.18769,,0.13628,0.2386,0.097366,0.48497,0.10085,0.2814,0.12818,0.1443
ENSG00000136243,NUPL2,,31.5622,32.1527,32.4639,36.6908,44.0892,47.6265,42.0374,34.591,,1.0896,2.2097,1.3108,1.9374,6.5701,6.5415,3.3495,3.2582
ENSG00000136235,GPNMB,,107.444,107.2523,167.2342,473.8544,1080.4855,1425.2456,1220.6051,1123.1384,,5.4981,8.6776,18.6186,100.7459,90.9946,40.1135,26.0531,86.6929
ENSG00000156928,MALSU1,,26.7192,27.1859,27.0943,27.1617,24.3207,21.2001,20.5599,20.7296,,1.5964,3.1252,1.185,1.6296,1.7692,1.5159,1.0591,0.52458
ENSG00000136231,IGF2BP3,,273.489,271.8803,211.72,162.8721,143.1559,122.8468,109.1081,95.4511,,18.5272,23.72,15.0808,16.2866,8.4148,7.9229,4.5114,3.8572
ENSG00000164548,TRA2A,,86.6396,89.9236,91.5714,89.3874,93.8622,89.894,85.9001,69.2385,,6.8726,6.4754,3.6473,1.5591,7.2112,7.6579,9.46,9.9309
ENSG00000169193,CCDC126,,9.367,8.8845,10.6075,10.916,12.6505,11.7945,13.6898,13.87,,1.2311,0.83116,0.79011,0.56302,0.50336,1.108,2.9431,1.5089
ENSG00000188732,FAM221A,,1.2754,1.883,1.0433,1.4258,1.9383,2.6158,2.9288,2.9054,,0.29236,0.39458,0.39659,0.58126,0.57668,0.67302,0.71393,0.73795
ENSG00000196335,STK31,,0.8148,0.68603,1.0507,1.9574,3.514,4.0038,4.3063,4.9502,,0.11934,0.031441,0.32204,0.67248,0.66389,0.77877,0.70523,0.18734
ENSG00000105926,MPP6,,66.1182,66.9129,55.6399,41.9481,33.2305,29.2402,29.4069,27.5311,,7.2803,3.3475,2.3588,6.271,0.90879,2.9415,2.4203,2.0695
ENSG00000105928,GSDME,,21.1611,20.4979,23.9994,24.8356,27.3806,26.2887,27.6353,33.2629,,1.3918,2.8166,1.1878,2.5817,0.53199,1.6922,0.85905,3.2112
ENSG00000070882,OSBPL3,,83.6238,85.3172,80.6693,72.9038,78.6995,85.2732,93.4689,102.5797,,2.5149,3.6408,4.4238,3.0502,2.716,4.4023,4.173,3.2197
ENSG00000172115,CYCS,,162.4931,165.2153,143.9281,102.019,74.9409,62.3521,56.6332,85.2432,,15.1562,19.0693,14.3139,18.2125,4.3449,4.7991,3.9986,17.3859
ENSG00000153790,C7orf31,,4.5804,5.5098,6.3381,10.3111,14.2247,15.7523,14.8749,15.6585,,0.75471,0.72105,1.3059,0.63515,0.61057,1.7956,1.6163,1.1748
ENSG00000270933,AC010719.1,,0.30277,0.34281,0.41318,0.56439,0.92116,0.43942,0.65002,0.99276,,0.14381,0.27719,0.306,0.17374,0.26855,0.18104,0.13016,0.33973
ENSG00000050344,NFE2L3,,36.534,38.5018,34.4146,30.2795,25.4314,22.8553,19.714,19.1056,,1.1518,1.6219,1.815,1.6783,2.3961,2.1674,1.3408,2.1015
ENSG00000273237,AC004520.1,,2.7764,3.5659,2.7753,4.0123,4.7646,4.6493,4.9786,3.5507,,0.45947,0.74891,0.70117,1.0347,1.0285,0.96716,0.65439,0.97363
ENSG00000122566,HNRNPA2B1,,2662.0021,2710.0691,2481.3079,1981.0038,1562.2431,1216.5557,1139.3321,1074.4024,,225.5225,203.2128,39.501,106.3544,65.5784,66.4274,39.1705,26.9543
ENSG00000122565,CBX3,,511.5346,523.4087,495.3678,405.4519,302.4834,253.4011,236.7547,227.7571,,28.0048,30.5637,33.1659,42.5607,25.6034,16.2074,4.5211,8.543
ENSG00000086300,SNX10,,70.5018,72.5648,82.6466,94.9188,78.5207,47.2458,28.5197,21.3597,,11.0205,10.5107,4.6468,13.5085,9.2454,4.4037,1.5807,0.91535
ENSG00000214870,AC004540.1,,0.80329,0.72468,1.0311,1.2197,1.971,2.1212,1.7907,1.4634,,0.10234,0.2346,0.3325,0.94979,0.58722,0.20818,0.55233,0.46081
ENSG00000280255,AC004947.2,,0.26211,0.18561,0.3559,0.31138,0.87058,0.78441,1.1843,1.0295,,0.058123,0.16399,0.25472,0.14882,0.17502,0.36375,0.59396,0.17968
ENSG00000233760,AC004947.1,,1.192,1.0874,0.50106,0.76811,0.54961,0.2854,0.42197,0.29891,,0.29574,0.17568,0.27841,0.31408,0.15506,0.055321,0.25392,0.080604
ENSG00000005020,SKAP2,,40.765,43.5589,45.1975,61.6352,76.2757,80.9491,83.2295,81.311,,4.5415,2.5954,3.6574,4.6512,4.4243,5.3031,2.6036,1.4711
ENSG00000105991,HOXA1,,5.0053,4.7123,5.1504,5.0934,5.4768,5.475,4.9429,4.951,,1.1435,0.50195,0.50656,0.46325,0.80968,1.0844,1.2494,0.65591
ENSG00000233429,HOTAIRM1,,1.4703,1.8474,1.7706,2.2337,2.3179,2.7304,2.1213,2.8989,,0.27883,0.47007,0.73481,0.36268,0.71217,0.41581,0.54788,0.7491
ENSG00000105996,HOXA2,,1.7366,1.8474,1.528,1.5276,0.93054,1.2335,0.76238,1.0686,,0.34826,0.59923,0.36994,0.12522,0.65653,0.31349,0.14376,0.51449
ENSG00000105997,HOXA3,,17.3908,17.7976,16.4759,13.2675,10.0028,8.0783,6.7183,4.8742,,1.7152,1.2603,1.6634,1.6435,1.4119,0.71218,1.0223,0.8506
ENSG00000253552,HOXA-AS2,,1.334,1.0792,1.1668,0.89725,0.75036,1.0813,0.706,0.56747,,0.13567,0.26051,0.44505,0.15666,0.37908,0.15036,0.4891,0.34465
ENSG00000197576,HOXA4,,4.4669,3.6729,3.2195,3.7172,2.8442,3.5961,3.5096,2.9313,,0.47167,0.44975,0.28025,0.28331,0.76817,0.87423,0.47261,0.79334
ENSG00000254369,HOXA-AS3,,0.43282,0.37453,0.24613,0.44087,0.68834,0.53266,0.92294,0.40417,,0.20402,0.15173,0.19478,0.087946,0.34644,0.33835,0.20492,0.15859
ENSG00000106004,HOXA5,,14.3884,13.6406,15.5802,19.34,19.1762,19.3178,19.241,17.2634,,1.1446,3.0914,1.4994,0.80631,1.8056,1.5569,0.85374,1.3311
ENSG00000106006,HOXA6,,2.3962,2.6302,2.3257,2.8307,3.3655,3.3388,3.6607,3.1484,,0.17981,0.50376,0.28283,0.49944,0.57825,0.61104,0.89891,0.77225
ENSG00000122592,HOXA7,,0.23338,0.40832,0.55147,0.47295,0.75115,0.64655,0.59913,0.43441,,0.16524,0.15133,0.10466,0.26177,0.3575,0.32475,0.31169,0.2016
ENSG00000078399,HOXA9,,0.85455,0.91342,0.67593,0.93993,1.1052,1.6118,1.0391,1.3465,,0.29531,0.12176,0.19128,0.15589,0.29348,0.59221,0.35854,0.18505
ENSG00000253293,HOXA10,,21.2323,19.2956,19.1202,19.7297,20.2246,22.3627,22.4014,25.3397,,1.7852,1.9462,1.0019,2.079,1.4467,2.325,1.8026,2.3177
ENSG00000005073,HOXA11,,1.109,1.3618,1.0865,1.1608,1.2007,1.2237,0.88715,1.4978,,0.30887,0.5035,0.5897,0.41169,0.55251,0.25499,0.1603,0.52536
ENSG00000240990,HOXA11-AS,,0.55118,0.38036,0.75983,1.5635,2.4336,2.7921,2.863,2.9672,,0.1314,0.087497,0.31916,0.4722,0.25293,1.0714,0.50496,0.71993
ENSG00000106031,HOXA13,,2.5221,2.8689,2.718,3.1652,3.7477,4.9879,5.3744,12.226,,0.84819,0.22619,0.60718,0.59807,0.31311,0.81865,0.72819,2.6702
ENSG00000243766,HOTTIP,,0.051455,0.05009,0.097309,0.25284,0.40032,0.47249,0.73598,0.94892,,0.059429,0.057955,0.065738,0.23532,0.21393,0.1001,0.3753,0.38329
ENSG00000106038,EVX1,,0.025334,0,0,0.028273,0.026512,0.021556,0.094397,0.75998,,0.050667,0,0,0.056546,0.053025,0.043112,0.064278,0.22746
ENSG00000233830,EIF4HP1,,1.7118,1.8293,1.336,1.5371,1.5438,1.3115,1.0893,1.0925,,0.51191,0.76409,0.30385,0.61302,0.60254,0.53455,0.52142,0.52732
ENSG00000106049,HIBADH,,50.1024,50.5731,60.1396,77.7913,99.0274,105.7417,106.1723,93.9529,,2.719,1.6378,4.4417,6.2637,1.4341,2.9278,2.4969,2.9311
ENSG00000106052,TAX1BP1,,192.1592,201.797,219.0483,258.4712,274.0277,283.4512,292.697,317.826,,9.382,4.2301,5.2038,7.936,8.4624,8.6499,8.2227,10.702
ENSG00000153814,JAZF1,,5.8456,6.5839,8.2069,13.0793,17.5195,16.8981,16.1643,14.1931,,1.157,2.0999,1.3166,2.9884,0.76971,0.59315,1.4181,0.97093
ENSG00000146592,CREB5,,1.8495,2.0431,2.8441,2.82,2.9319,3.1788,1.4627,0.64638,,0.77939,0.62634,0.60208,0.68949,0.32926,0.80157,0.2126,0.37343
ENSG00000255690,TRIL,,3.3936,3.0667,3.0681,3.0178,2.7882,2.1414,1.3777,1.1548,,0.68742,0.62613,0.35611,0.51516,0.45408,0.72783,0.26741,0.25557
ENSG00000106066,CPVL,,13.5571,15.1508,17.7757,19.947,21.1962,18.3015,16.2652,22.5943,,0.90728,3.0593,1.6307,1.2213,1.2673,2.1305,1.0522,3.0377
ENSG00000106069,CHN2,,1.1862,1.2104,1.7381,1.8872,1.8446,1.5441,1.279,1.8494,,0.26833,0.16862,0.46723,0.23655,0.66035,0.38203,0.12541,0.7878
ENSG00000223813,AC007255.1,,0.051455,0.051649,0.061368,0.15577,0.5246,0.51571,0.64318,0.33272,,0.059429,0.059963,0.070965,0.057571,0.060848,0.20854,0.39131,0.15648
ENSG00000225264,ZNRF2P2,,2.208,2.0319,2.2148,2.3356,2.2949,2.1702,2.4031,2.6958,,0.54067,0.04311,0.33521,0.51197,0.60392,0.30976,0.36247,0.44361
ENSG00000227855,DPY19L2P3,,0.35169,0.82288,0.41595,0.74728,1.0758,1.1786,1.3321,1.3267,,0.31871,0.2196,0.15753,0.26386,0.58705,0.13054,0.55807,0.44447
ENSG00000122574,WIPF3,,0.41308,0.25291,0.25084,0.65102,2.9775,4.5913,5.4668,2.575,,0.15949,0.17338,0.02741,0.33623,0.62614,0.93362,0.88295,0.40733
ENSG00000136193,SCRN1,,397.3813,395.7589,395.5491,387.3985,378.4913,379.5826,351.0843,314.88,,12.0927,7.8457,6.1639,15.0334,17.0445,12.7567,17.6691,9.8777
ENSG00000227014,AC007285.1,,0.14927,0.33092,0.14475,0.317,0.52084,0.68378,0.84269,0.63914,,0.17279,0.21721,0.17526,0.17428,0.15697,0.17921,0.40611,0.045054
ENSG00000106080,FKBP14,,31.1561,34.5372,34.5539,38.4734,43.2264,38.336,37.3602,32.7563,,1.0387,3.5234,2.5961,3.3097,1.5525,3.7798,1.382,0.39792
ENSG00000106086,PLEKHA8,,48.2175,47.8604,51.7261,46.0997,45.5,43.44,45.9464,58.4937,,2.5986,3.4338,1.7239,3.6683,1.8781,1.6888,2.176,3.456
ENSG00000180354,MTURN,,11.3854,11.8392,13.5141,18.2571,23.8974,28.4933,35.4688,43.5263,,0.50679,1.079,2.006,1.9215,0.85287,1.1082,0.84285,2.7626
ENSG00000227017,AC007036.1,,0.11193,0.023921,0.1973,0.75804,0.48782,0.93978,0.49973,0.076264,,0.099313,0.047841,0.15612,0.30965,0.28706,0.34748,0.3097,0.15253
ENSG00000180233,ZNRF2,,6.3138,6.2597,6.7814,7.4228,8.2325,8.3096,8.5021,7.4947,,1.3375,1.0409,0.42095,1.1884,1.0845,1.1766,0.61826,1.3199
ENSG00000235859,AC006978.1,,0.68237,0.69425,0.78269,1.0623,0.86427,1.3116,0.90051,1.4802,,0.37518,0.35219,0.37821,0.4874,0.25247,0.2046,0.40658,0.41783
ENSG00000281404,LINC01176,,0.20666,0.20104,0.30813,0.22688,0.14278,0.2374,0.45149,0.40484,,0.2003,0.18865,0.15991,0.20878,0.10736,0.23412,0.15587,0.23
ENSG00000106100,NOD1,,13.2419,13.7825,10.8376,11.2259,8.5442,8.1788,9.2663,11.9453,,1.406,1.4309,1.0901,1.0436,0.40469,0.50224,0.48953,1.8417
ENSG00000006625,GGCT,,42.4089,38.8305,35.239,23.0875,16.6255,15.2552,14.2271,21.0665,,2.1286,2.9642,3.153,2.9917,1.9506,1.1123,0.45702,1.9224
ENSG00000196295,AC005154.1,,17.5059,18.5409,22.0741,30.2213,44.8899,54.8903,53.2533,50.2147,,1.8185,2.0937,2.5352,2.7309,11.5292,6.6134,7.6425,1.773
ENSG00000244480,AC005154.3,,0.43501,0.38371,0.70405,0.49592,1.48,2.1456,2.1288,1.5733,,0.1904,0.067441,0.19914,0.3059,0.76964,0.60972,0.66032,0.44412
ENSG00000106105,GARS,,278.9977,276.013,238.893,186.1848,145.9345,123.2729,123.029,320.8575,,14.7788,5.6788,7.2077,12.0946,10.2615,9.4437,1.5866,25.3193
ENSG00000241644,INMT,,0.18695,0.22965,0.2149,0.32193,0.5674,0.48706,0.34938,0.083103,,0.1659,0.16669,0.049012,0.48106,0.34898,0.2235,0.18977,0.057354
ENSG00000106125,MINDY4,,1.5025,1.5335,2.1029,1.3896,1.2117,1.4183,1.27,1.1516,,0.63631,0.37842,0.33665,0.45968,0.23852,0.30628,0.34826,0.35823
ENSG00000240583,AQP1,,1.1062,1.3501,1.7587,2.0302,1.8636,2.4972,2.3815,2.202,,0.21625,0.29414,0.63111,0.014011,0.57752,0.34495,0.6236,0.1641
ENSG00000154678,PDE1C,,110.8664,112.6514,147.995,240.0992,331.5209,345.4532,300.7771,66.2718,,4.3539,4.6431,8.9766,19.3855,21.0835,3.4184,7.7528,13.7649
ENSG00000106355,LSM5,,83.843,83.5025,79.3349,73.3987,59.8152,53.1954,53.141,57.564,,3.226,3.0215,3.9317,5.8958,2.7712,1.8158,1.503,3.9425
ENSG00000105778,AVL9,,94.3339,91.4747,96.69,103.1118,100.6981,100.4165,103.6242,103.402,,5.2829,3.7305,3.5736,7.5357,5.6739,4.0879,2.5068,5.3502
ENSG00000229358,DPY19L1P1,,1.4841,1.3549,1.586,3.1012,4.4824,5.8244,5.7769,4.4255,,0.49007,0.40156,0.3686,0.63401,1.2412,0.13846,0.61763,0.80363
ENSG00000237004,ZNRF2P1,,1.0949,1.0199,0.69482,0.61416,0.39867,0.69835,0.42272,0.61573,,0.51732,0.62824,0.27177,0.32204,0.28529,0.31452,0.18756,0.17288
ENSG00000273014,AC018645.2,,2.3022,2.8077,2.2281,2.3022,2.626,2.4968,2.276,1.9667,,0.40247,1.0262,0.27351,0.68632,0.55272,0.38156,0.49763,0.74051
ENSG00000281332,LINC00997,,6.1897,7.1254,7.5249,7.215,5.9715,5.803,6.5212,6.0579,,1.2305,0.3445,0.78972,0.78537,0.59804,0.46275,0.87911,1.0805
ENSG00000231952,DPY19L1P2,,0.076789,0.17487,0.26888,0.16289,0.48632,0.40488,0.18431,0.62681,,0.097307,0.15211,0.31088,0.13119,0.39448,0.089369,0.14655,0.10373
ENSG00000170852,KBTBD2,,90.7103,95.0392,89.9831,75.4803,71.2336,69.3531,69.8841,62.3168,,5.3275,2.6549,9.3721,9.6204,6.733,4.0323,2.864,2.9951
ENSG00000205763,RP9P,,5.2188,5.1106,4.619,4.0635,3.2944,2.8073,2.7084,3.3156,,0.74503,1.1396,0.26362,0.82605,0.56544,0.52889,0.79265,0.40187
ENSG00000122642,FKBP9,,44.3039,45.0755,55.5477,78.5667,90.5831,96.8303,87.87,87.5998,,2.2123,3.1086,2.5155,4.6599,0.76791,2.2447,5.1971,4.0416
ENSG00000122643,NT5C3A,,33.3017,34.0079,30.4454,26.7129,24.9755,25.9823,24.0379,27.7482,,2.0702,1.2913,2.1405,1.7915,1.3961,2.9186,1.7092,2.5625
ENSG00000164610,RP9,,21.278,17.732,15.1527,12.6647,11.8656,8.7603,11.1441,14.8239,,1.9891,0.79785,0.66404,2.3445,1.7142,0.88316,1.5522,0.81822
ENSG00000122507,BBS9,,11.4615,12.7806,14.3845,19.0324,22.1278,22.9208,21.8887,27.1801,,0.50989,0.39995,1.1878,1.318,0.96612,1.3995,1.0542,1.5969
ENSG00000164619,BMPER,,0.077506,0.080066,0.09356,0.52733,0.46512,0.86008,0.94738,1.8552,,0.093717,0.10081,0.063847,0.22526,0.25763,0.29742,0.23722,0.2786
ENSG00000173852,DPY19L1,,117.3166,114.6003,122.3983,130.2416,150.1938,156.8606,152.1076,104.686,,5.897,8.7314,7.3992,3.7285,1.9683,8.9913,4.4871,4.4076
ENSG00000189212,DPY19L2P1,,9.145,8.7091,8.6933,5.7735,5.49,5.2117,4.822,4.8008,,1.7895,0.95885,0.40478,0.68518,1.0694,1.214,0.48347,1.4333
ENSG00000164532,TBX20,,3.27,3.0457,2.4704,2.4428,2.4505,2.0266,2.0709,2.4929,,0.63628,0.39096,0.7116,0.13585,0.27924,0.47912,0.45901,0.48847
ENSG00000122557,HERPUD2,,27.604,27.4243,29.3078,36.5913,40.4748,41.1046,41.3884,45.1846,,1.9655,1.7549,1.5356,2.1646,0.47825,2.1806,1.4816,1.0024
ENSG00000271122,AC018647.2,,16.5982,17.844,21.3789,29.8461,32.0577,35.1906,34.5254,32.1228,,3.1908,0.62716,2.2262,2.3485,1.995,1.5684,1.6138,2.6615
ENSG00000227544,AC018647.1,,0,0,0,0.033736,0.26932,0.41676,0.57159,0.80022,,0,0,0,0.067471,0.12626,0.24241,0.24927,0.44597
ENSG00000228878,SEPT7-AS1,,0.37895,0.25783,0.41327,0.85162,1.0661,2.0216,2.3173,2.3214,,0.17718,0.076086,0.21942,0.30196,0.59709,0.40178,0.75746,0.54238
ENSG00000122545,SEPT7,,243.1994,247.3101,248.2382,278.7041,302.2125,298.3169,308.3985,341.6222,,20.7167,16.4437,10.0731,14.1541,4.0672,9.2236,10.29,16.472
ENSG00000122547,EEPD1,,2.1176,1.992,2.3208,1.4282,1.5896,2.4771,4.4538,9.3476,,0.34364,0.7075,0.53666,0.39629,0.15907,0.76593,0.93318,1.5753
ENSG00000164542,KIAA0895,,11.9567,12.5846,14.8336,17.8665,21.9067,21.4604,22.5861,18.8991,,1.7244,0.63555,1.779,1.353,1.802,1.3664,2.2415,1.63
ENSG00000011426,ANLN,,325.7529,327.5053,299.3239,203.777,116.9164,65.1418,57.3979,47.5348,,15.2325,9.4453,14.8773,22.049,17.9663,7.5016,5.1639,5.325
ENSG00000136250,AOAH,,0.86953,0.67552,1.1312,2.1318,2.3469,2.8431,3.6109,3.8734,,0.16212,0.43221,0.33311,0.90169,0.67264,0.33587,0.81489,0.94971
ENSG00000155849,ELMO1,,63.185,61.694,57.0187,45.5591,34.6114,33.1489,29.1882,29.6445,,3.1059,1.4594,2.5476,3.4859,4.3498,0.79344,2.5874,0.76326
ENSG00000086289,EPDR1,,32.8703,32.1208,33.088,28.1897,27.4314,24.6519,22.1764,25.9418,,1.7733,1.7691,3.7509,1.3555,0.98524,1.718,1.2983,1.0018
ENSG00000010270,STARD3NL,,50.65,50.3403,45.8906,44.276,42.038,39.5317,39.1002,42.2874,,3.1307,2.9528,1.9668,1.7015,1.3183,2.4911,1.5935,1.9366
ENSG00000078053,AMPH,,1.1191,0.85974,1.0199,1.3489,1.6823,1.4939,1.0986,0.95336,,0.33487,0.17845,0.51148,0.099997,0.58086,0.5105,0.3434,0.29234
ENSG00000006715,VPS41,,68.7749,69.4878,84.6958,116.3034,147.8368,167.0215,170.2041,159.2732,,4.502,0.8425,3.802,3.3708,3.3873,9.1395,4.1642,6.1149
ENSG00000106536,POU6F2,,0.71627,0.68916,1.8134,6.408,13.7252,14.3184,15.2923,4.7098,,0.27542,0.20879,0.73572,0.61422,2.231,1.3815,0.5082,2.2093
ENSG00000233854,POU6F2-AS2,,0.026122,0.026169,0.035941,0.39636,0.74344,0.67542,0.67431,0.17439,,0.052244,0.052338,0.071882,0.28799,0.28422,0.076003,0.30588,0.169
ENSG00000241127,YAE1D1,,18.1243,21.1448,21.5637,21.3551,20.355,19.4733,18.9029,17.2123,,2.3904,1.3553,1.895,1.0282,1.253,0.71838,0.80574,1.9809
ENSG00000006451,RALA,,96.6427,101.0624,86.8174,80.7295,81.0085,75.1326,83.2752,97.7203,,8.177,5.1461,4.7101,3.9967,1.8078,3.5426,3.3125,2.8759
ENSG00000188185,LINC00265,,6.5481,6.7581,8.1824,11.9878,16.0227,17.7892,17.6119,13.8086,,0.93106,1.5214,1.1636,2.2385,3.1265,1.9184,1.2607,1.3842
ENSG00000259826,AC072061.1,,0.6976,0.7212,1.0708,1.2723,1.8951,2.1719,1.7264,2.4594,,0.50511,0.50092,0.23754,0.24117,0.41306,0.549,0.64642,0.79155
