Cell_Line,Vemurafenib,Dabrafenib,PLX8394,LY3009120,AZ_628,Cobimetinib,Trametinib,Selumetinib,Binimetinib,PD0325901,EGF,Time_Drug,Time_EGF,pERK,pMEK,Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Std,Std,Std,Std,Std,Std,Std,Std,Std,Std
A375,0,0,0,1,0,-1,0,0,0,0,100,24,0.0833,1,0,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,1.727537344,1.703212099,1.680033937,1.700787378,1.610558856,1.617237248,1.232034225,0.460028722,0.140646913,0.117603402,0.052640883,0.08639899,0.03420577,0.002286557,0.034929847,0.078625013,0.100497594,0.05015331,0.009412014,0.003631377
A375,0,0,0,0,1,-1,0,0,0,0,0,24,0.0833,1,0,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,0.113823762,0.112871395,0.112642799,0.109428463,0.111249056,0.103301482,0.100979935,0.100745659,0.105418313,0.101062964,0.004762528,0.0036006,0.002977912,0.007004964,0.014437544,0.00417683,0.004753587,0.005568154,0.010583444,0.005799308
A375,0,0,0,0,1,-1,0,0,0,0,100,24,0.0833,1,0,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,1.550707883,1.583394158,1.656357419,1.58069388,1.52361892,1.401076565,1.066206233,0.493433207,0.128077817,0.116446428,0.208829141,0.100135993,0.103390854,0.077370178,0.050895209,0.014369888,0.106876897,0.00820369,0.00609768,0.007327298
A375,0,0.1,0,0,0,0,-1,0,0,0,0,24,0.0833,1,0,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,0.122596819,0.121705236,0.120514371,0.11416342,0.111805165,0.106338109,0.102213962,0.100676123,0.101006507,0.101794415,0.006083469,0.005935488,0.00282893,0.008096143,0.000350924,0.003155814,0.00515709,0.00463339,0.004744815,0.007683462
A375,0,0.1,0,0,0,0,-1,0,0,0,100,24,0.0833,1,0,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,1.572813322,1.624201057,1.665698206,1.566446662,1.556603354,1.281259986,0.805272899,0.336483524,0.140798345,0.118975663,0.060788433,0.19924109,0.145684551,0.114144658,0.090964812,0.184196684,0.15972936,0.059755279,0.017274566,0.00442117
A375,-1,0,0,0,0,0,0,0,0,0,0,24,0.0833,0,1,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,0.862388978,0.870586605,0.906920889,0.832610917,0.785165496,0.508402346,0.285860451,0.129424843,0.077388807,0.126565292,0.043667771,0.010594855,0.113131946,0.031464119,0.063999086,0.04379116,0.040838184,0.037605707,0.019447278,0.037052041
A375,-1,0,0,0,0,0,0,0,0,0,100,24,0.0833,0,1,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,0.965834574,0.908970657,0.867218562,0.881834285,0.866368181,1.075944339,1.260137778,1.13395648,1.136832789,1.370597641,0.039853521,0.033481353,0.009934568,0.000653589,0.006726663,0.070333739,0.146502842,0.10078396,0.120773177,0.045695411
A375,0,-1,0,0,0,0,0,0,0,0,0,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,0.965234391,0.887416895,0.844878768,0.841908007,0.61819472,0.408396467,0.156860289,0.102399756,0.095809002,0.119453752,0.045002157,0.025662152,0.003350899,0.011311656,0.027995147,0.066043305,0.032494634,0.023366113,0.035244833,0.03315664
A375,0,-1,0,0,0,0,0,0,0,0,100,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,0.947316774,0.878790858,0.815939473,0.828803691,0.909072145,1.093861206,1.173927491,1.210261109,1.172071282,1.091547749,0.041456063,0.029569222,0.034832106,0.003149297,0.001459279,0.038882876,0.089642771,0.063077116,0.053539518,0.070351218
A375,0,0,-1,0,0,0,0,0,0,0,0,24,0.0833,0,1,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.106666667,0.959954929,0.890190814,0.923243644,0.909606745,0.694427081,0.508157909,0.231380015,0.132028762,0.094151125,0.164828355,0.064451189,0.040184889,0.019173253,0.009687638,0.027268221,0.054671437,0.017227161,0.03029318,0.001378412,0.047042834
