,,,Mean RPM EGF addition on Vemurafenib (1uM) 24hrs pretreatment ,,,,,,,,Std RPM EGF addition on Vemurafenib (1uM) 24hrs pretreatment,,,,,,
,,,Time (h),,,,,,,,Time (h),,,,,,
ENSG00000230679,ENO1-AS1,,0.52305,0.50878,0.7674,0.60946,0.64869,0.4462,0.80237,,0.34508,0.10805,0.19581,0.54223,0.21812,0.16519,0.44135
ENSG00000142583,SLC2A5,,0.55836,0.82649,0.80616,0.48367,0.4827,0.59367,0.40624,,0.23031,0.44805,0.42101,0.33395,0.093738,0.21939,0.45433
ENSG00000180758,GPR157,,9.9309,9.8205,9.2632,9.579,10.8938,11.2622,8.7717,,1.7344,0.38243,1.1009,1.509,0.9312,0.92101,0.39825
ENSG00000228526,MIR34AHG,,29.5122,22.3139,19.4301,16.2264,18.3541,23.0312,24.0514,,4.2333,3.0954,1.0566,1.079,3.8628,0.9546,4.5495
ENSG00000234546,LINC01759,,3.7316,3.7822,3.9523,3.2395,2.7464,3.0586,3.378,,0.82877,0.65116,1.2716,1.2958,0.41935,0.74658,0.41021
ENSG00000049239,H6PD,,220.0564,220.1219,215.3833,217.8784,214.7721,214.9058,225.6269,,8.4034,4.2175,14.2947,6.8533,7.3945,6.5179,9.3326
ENSG00000171621,SPSB1,,24.602,26.5121,21.3756,16.1234,18.524,20.9406,25.6657,,1.9397,2.219,2.0012,1.5483,2.0379,1.7928,3.3891
ENSG00000284652,BX323043.1,,1.26,0.87307,0.90977,0.86319,0.58895,0.86791,1.1377,,0.30275,0.14685,0.36402,0.39459,0.37576,0.27932,0.10689
ENSG00000284693,AL928921.2,,5.2681,5.3976,4.8967,2.9021,3.2903,3.6264,4.0347,,1.0639,0.52978,0.95872,0.58006,0.90177,0.75931,0.64069
ENSG00000171612,SLC25A33,,12.5077,16.0489,16.3593,13.4865,13.0045,11.006,13.6631,,2.0416,1.5842,1.4261,1.8066,2.4963,0.46857,1.5391
ENSG00000231181,AL954705.1,,0.42332,0.72783,0.20504,0.32572,0.24911,0.20642,0.36245,,0.16693,0.43501,0.33864,0.24427,0.18067,0.24045,0.25947
ENSG00000188807,TMEM201,,20.463,21.0021,20.5251,24.9702,26.6645,27.3891,24.6175,,1.3863,1.8022,1.8154,0.97751,2.3517,3.3012,2.2686
ENSG00000171608,PIK3CD,,15.172,15.3276,13.6686,14.3138,18.0196,19.2148,10.3957,,1.9543,1.3129,0.60716,1.5613,1.5925,2.4518,0.93403
ENSG00000231789,PIK3CD-AS2,,7.3408,7.8128,7.2201,7.3259,7.4294,6.3024,7.1867,,1.1602,0.26607,1.099,0.37105,1.3457,0.63211,1.1388
ENSG00000171603,CLSTN1,,351.8634,340.7887,332.099,364.1036,367.1741,387.1819,382.0796,,24.1778,20.1949,24.1717,19.6673,17.456,14.6989,9.1402
ENSG00000178585,CTNNBIP1,,26.0924,26.4849,24.6746,25.3817,22.343,24.2277,22.2994,,1.1418,0.61176,3.0521,1.0166,0.76364,1.5399,2.1139
ENSG00000162441,LZIC,,35.6832,34.8597,34.3145,33.7377,32.136,30.3611,32.4958,,0.84947,0.91782,3.277,2.2445,0.73731,2.5291,2.0723
ENSG00000228150,AL357140.2,,0.52543,0.3979,0.36275,0.15861,0.19165,0.23213,0.20282,,0.20579,0.28844,0.24446,0.16801,0.073825,0.056454,0.15452
ENSG00000173614,NMNAT1,,19.454,16.61,17.68,14.5225,13.644,15.0174,17.4807,,1.1539,0.6952,2.2067,1.1785,1.1045,1.3664,0.96091
ENSG00000130939,UBE4B,,164.1145,161.9388,154.6456,148.6349,131.5985,133.9152,147.5067,,5.3579,7.596,9.1713,7.2371,1.2186,5.3818,3.0228
ENSG00000054523,KIF1B,,114.9513,117.7832,118.1691,145.1165,153.7031,126.6067,113.7364,,3.3929,2.2859,7.3633,6.705,13.5958,5.9062,2.7787
ENSG00000142657,PGD,,146.0946,146.7992,144.9129,154.4831,157.1163,161.7566,153.5925,,4.2406,8.6045,3.6502,8.2737,2.9807,6.3034,8.7798
ENSG00000175279,CENPS,,3.4153,3.7888,2.9556,2.8337,3.0071,3.4214,3.0298,,0.5605,0.63793,0.41204,0.64294,0.3169,0.50602,0.75024
ENSG00000160049,DFFA,,83.745,82.7673,79.825,78.0883,77.4757,76.7551,82.4306,,2.3433,5.8087,4.793,1.6989,3.5801,1.2976,2.5634
ENSG00000142655,PEX14,,20.0632,18.9931,19.3446,17.9059,18.2965,18.1823,18.042,,2.0423,1.725,1.3503,1.4702,0.96641,2.3887,2.5146
ENSG00000130940,CASZ1,,2.796,3.2225,2.6472,3.0117,4.6368,3.0193,2.894,,0.84046,0.56902,0.66588,0.8308,0.60202,0.9013,0.72726
ENSG00000120948,TARDBP,,102.0097,95.8396,98.1288,98.1238,103.753,105.0178,97.863,,1.2197,2.5546,6.3132,5.4661,6.3274,7.1373,6.6595
ENSG00000009724,MASP2,,0.69525,1.3372,0.81298,0.48238,0.53474,0.61801,0.52576,,0.40561,0.88167,0.17996,0.31519,0.33345,0.31516,0.47017
ENSG00000271895,AL109811.3,,1.8534,1.7472,2.1563,1.3903,1.3819,1.5919,1.4374,,0.22671,0.6671,0.17157,0.4351,0.47855,0.62515,0.61349
ENSG00000116649,SRM,,298.321,319.1269,294.8463,304.013,307.2455,304.9723,331.0279,,9.0443,22.3364,45.7172,23.5579,36.3683,30.2678,16.7643
