Cell_Line,Vemurafenib,Cobimetinib,EGF,Time_Drug,Time_EGF,pERK,pMEK,Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Std,Std,Std,Std,Std,Std,Std,Std,Std,Std
A375,1,-1,100,24,0.5,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.665138381,0.654324764,0.612474722,0.555254575,0.508308782,0.425663329,0.330388916,0.274830426,0.288604066,0.133224198,0.004328332,0.008645601,0.000916721,0.012839101,0.007668683,0.022485211,0.003911241,0.007019847,0.000963494,0.001151836
A375,1,-1,100,24,2,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.193745818,0.195374901,0.190209087,0.173375091,0.150570816,0.136661296,0.127515531,0.12512781,0.123039066,0.123379411,0.001514185,9.06698E-05,0.000516814,0.001087352,0.001471183,0.000119526,0.00017574,0.001857378,0.000555997,0.001166903
A375,1,-1,100,24,8,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.163966562,0.165406749,0.158556046,0.152802895,0.141986567,0.128116973,0.114868682,0.107501027,0.104335783,0.104380745,0.002388139,0.006481477,0.000518472,0.002985514,0.001239862,0.002178834,0.001347896,0.000747237,0.000219409,5.41329E-05
A375,1,-1,100,24,24,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.120596519,0.120837242,0.119168796,0.116443232,0.112548367,0.107420237,0.110064756,0.106039321,0.103122257,0.09689762,0.002587775,0.001362153,0.003259563,0.001458002,0.000650854,0.000648694,0.001060273,0.000194988,0.000822778,9.62239E-05
A375_Cra_F7_5/13,-1,0,0,24,0.083,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,1.002127593,1.00659529,0.967818553,0.847390027,0.676733678,0.43529611,0.305784919,0.250735503,0.192725352,0.154381179,0.018301449,0.011188245,0.015254216,0.034253432,0.024558357,0.015175596,0.026013509,0.003264458,0.008110363,0.005332205
A375_Cra_F7_5/13,-1,0,0,24,0.5,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,1.014792451,0.980482901,1.000965418,0.856716209,0.632077365,0.37159331,0.253831038,0.220593341,0.222996571,0.273708663,0.032681807,0.067298993,0.001730788,0.009125955,0.020529971,0.003013088,0.032366538,0.016401687,0.011068894,0.051638356
A375_Cra_F7_5/13,-1,0,0,24,2,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,1.053651683,1.080257047,1.072275831,0.957032854,0.768717652,0.411126428,0.253895786,0.189137329,0.141383254,0.129317224,0.030348418,0.0153531,0.055403739,0.069950741,0.088161286,0.035228424,0.006028358,0.002218166,0.005341908,0.003719858
A375_Cra_F7_5/13,-1,0,0,24,8,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.990384323,0.982333703,0.951222921,0.886475186,0.622842282,0.354129016,0.204071238,0.144046517,0.111478079,0.101325895,0.055185121,0.041716924,0.017529031,0.02806332,0.015677089,0.021289677,0.004127312,0.003983909,0.000530422,0.001187846
A375_Cra_F7_5/13,-1,0,0,24,24,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.984545126,1.075969073,1.049237312,0.907571576,0.655020523,0.333285874,0.194819917,0.16093062,0.145556346,0.132875902,0.04165761,0.065079028,0.038502493,0.006850999,0.035241538,0.012526151,0.013799049,0.005806639,0.013017555,0.007873198
A375_Cra_F7_5/13,-1,0,100,24,0.083,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,1.427972132,1.526094165,1.420697556,1.466178101,1.477739378,1.487562621,1.357785801,1.364240526,1.388896909,1.616061428,0.001099387,0.015921538,0.106057058,0.005157308,0.071551683,0.010683142,0.032301412,0.024642395,0.011225318,0.038121179
