,ARAF,BRAF,CBL,DUSP4,DUSP6,EGFR,ERRFI1,GRB2,HRAS,KRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,NRAS,PTPN11,RAF1,SHC1,SOS1,SPRY2,SPRY4,mARAF,mBRAF,mCBL,mDUSP4,mDUSP6,mEGFR,mERRFI1,mGRB2,mHRAS,mKRAS,mMAP2K1,mMAP2K2,mMAPK1,mMAPK3,mNRAS,mPTPN11,mRAF1,mSHC1,mSOS1,mSPRY2,mSPRY4
JIMT1,0.11431071035534,0.206754147469047,-0.0497728060994922,0.0083107616357579,,0.602340763908453,0.354509955027438,0.100124166296983,0.148033328953242,0.0268535781062273,-0.163746326798613,-0.134724067734096,-0.358064650379866,-0.245478960884371,-0.586113384052051,0.05503681642134,0.314223028445525,,0.409049477995081,-0.641259820888532,-0.851329444173898,2.3142863653016867,1.7394217699904562,2.24767473860914,1.3507423101883362,2.4355062994928733,-2.473502722452932,-2.08182838793238,3.349998819629459,2.317010544057907,2.5671546163973327,3.330621114408355,3.922670123171906,2.2547321894586094,2.915822890325689,4.3595023570452005,3.3300128244714675,4.26995196276331,3.1832154860534625,1.7786286359348533,1.4301676955638607,-0.13925746964292762
COV362,-0.259529660639651,-0.447777027779132,-0.917643697149429,-0.629877379674366,,1.16554814109074,-0.308907230882042,-0.683010138877351,0.169411144011256,-0.04059699779841297,-0.285175515233076,-0.528933540010372,-0.643490750190895,-0.249656171796336,0.781396291744361,-0.619662954433194,-0.14518752543349,,-0.187484967941589,-0.308701450550342,-0.200171138199449,3.077132520891906,1.2805254287379737,2.398831198319773,-2.2140523738324944,3.7262619403012667,-1.8251218559344666,1.1001943698507612,3.529593528117843,2.615445026137951,2.358473812223947,3.0804226257149048,3.6363643610026353,2.8084866132367656,1.9951723106599657,3.3834338739478076,3.5051819511400506,3.903569373961447,4.82136968306787,1.9211489626852425,1.3228485760620559,1.8341578206446718
KPL1,0.0980762097684659,-0.199175935007066,-0.567401386379089,0.193457684907899,,-0.716630655423963,-0.573539115276322,0.0520621819436915,0.142975120080884,0.53974543203941,-0.675575738654929,-0.599678606284695,-1.1160131203687,0.197278447875263,2.35118586509835,-0.260540607631464,-0.19428174563644,,0.236133228825483,-0.828541488687469,-0.63430723946332,2.6165633696444055,1.5215374130195216,2.246668496015564,-4.051026485508564,-3.515037077512809,1.413761170844961,4.647798548043714,3.810450860379724,2.4953766475711148,3.754323034311968,2.4935029290133572,3.7537819714968355,2.9318815158529175,2.0024714005023023,3.303963018470448,3.7414695323137854,3.847738318738552,4.920258259630325,2.3350619636268015,-3.0925890487205963,3.018984825364141
A375,0.128258174227504,0.34678926379063,0.371583656740107,0.598171118429695,,-0.743465792974976,1.50022687996948,-0.0855641582829738,-0.361963886533164,-0.394379930673602,0.370902396299074,0.226647751615974,0.484503535143224,0.226942304621052,-0.618869060989979,0.235213989773359,0.199686191157524,,0.314380627623295,1.43996004189309,2.31648930815009,3.235933511789647,1.5195569676246603,2.0954920404985287,0.26083232241246795,2.1645820029309073,-2.2596788719835885,-1.6738537744279454,3.7976710767861968,2.029285757976364,3.0906150893240416,3.5809406174413096,3.523220305166308,-2.6506713115688134,2.314365431529577,3.3995693905367697,3.2783251680799275,3.970582437383722,4.75845763619699,1.9269865067671719,-2.3199927305690795,1.2272546661777084
A2058,0.0333447539038091,-0.203127285583216,0.155775596905708,0.82974890931494,,-0.919852095146298,0.116255247348744,0.12970814715096,-0.0291560716132387,-0.807624541404022,0.27174280146245,0.576587680057468,0.423798107218283,0.0906615912200285,-0.202322874972282,0.0307637196444668,-0.0830246098622486,,-0.0337979808362904,0.273393401888082,0.201045076463737,2.1146457861493597,0.7925399244379802,1.4685446303354275,0.9415061346152069,2.258757544651876,4.270452409401401,1.9726911717329554,3.1604158584937596,3.568856411514206,1.7557487983716613,2.892086952774748,3.7198862366520578,3.225406453814174,2.4084214953998093,3.3445494257516812,3.0721700296522343,3.4245557712393904,3.3346479511119527,1.3733965406839743,1.25935263742846,0.3037202702245156
SW620,0.179021417225653,0.279870209316193,0.454509595498221,-0.135231701693133,,-0.762235946217726,0.304372607961232,0.514720530518945,0.696446137270821,1.285072468427152,0.480062079891007,0.0321060653316435,0.235559260883589,-0.0456218573411433,-0.334461938631758,0.228554136491746,-0.178083253727734,,-0.282843115050626,0.861415418282953,0.138519643154201,2.9680475641029997,1.3619196979782358,2.2274045458373517,1.8894713081933938,2.8276567583172754,3.2107186453577854,3.6019698901230055,3.3750347724893635,2.8613834040291146,2.3090541236226265,3.1179720299273157,2.769095126735482,2.5608795485512346,2.8624979796484156,3.064903795748621,3.5028299571779535,3.4190176532320717,4.080335221389035,2.7757213105575764,0.8270616248108253,1.234692097985303
MDST8,0.102172498600406,-0.0227209021065674,0.599340858142091,-0.0245802690541309,,0.723128480739889,-0.596301786330557,0.269187377304414,0.410251669875963,-0.416053686229798,0.468181861937568,0.441519626887291,0.528844285416344,0.270594804985058,-0.0728309102666653,0.231887663310578,0.0450156599397577,,-0.0447950520416364,0.0234796142043553,-0.800636716074211,3.070129846626461,1.158022055199542,3.072475698420824,2.426668241198909,3.4886128436651047,-3.1060785307244765,-2.074366441813087,3.8995697849583344,1.8466547685996344,1.8144973270010398,2.4358914603022708,3.3305638793618897,2.1842350216032824,2.0130680045965352,2.8614177171939357,3.554624942959361,3.5574743707194205,2.9972660966457063,1.8521079744964515,2.3355748958197027,-1.3423846584804777
HUH1,-0.106616767687038,-0.276706949402403,-0.887413990542965,-0.693680532705949,,-0.312979979916753,0.226401164639265,-0.298226864266008,-0.283018266365733,0.07584250951248497,-0.10151571186732,0.0157484066755641,-0.0898888792866652,-0.443372386065137,-0.228705467323519,-0.460471791526376,-0.200818806660763,,-0.481807355642573,-0.470533945650724,-0.843211972104044,2.8707641115899563,0.6049387237196846,1.714700223269991,2.0653350107805326,0.8604439280857896,1.8286585792887684,2.2122916085046396,3.052703169813617,3.0442747880131455,1.382620119353098,3.207430577183459,3.739886207452521,2.634130929092214,2.214437798366915,3.598317234884624,3.22815266164841,3.6856994031073054,4.352765163225156,1.3077137091218811,2.8802933632876284,1.2873079321847583
HCT116,-0.0941137678359288,0.0018369916844992,0.498118818409557,1.97479038970692,,0.181806163431738,3.59884363584742,0.314195937131878,0.166729953213454,0.99551374948013,0.24332690201521,0.148234802004613,-0.0790757595999389,-0.153674532210319,-0.0012459992976137,0.473934789283947,-0.0533187792491442,,-0.0903415973359741,,1.20364190425988,2.6805351090615677,1.3744469569605107,2.1648104246810944,-1.1702576033458003,1.7856994778481798,2.1474517638583914,3.9647938077630567,3.3793538731840322,3.3304493994404694,2.787637420441299,3.493825179214966,3.5015554056971903,3.0889083596174904,2.8069418386114435,3.8163509601584105,4.118192916087323,3.749200500444231,3.237112520851319,2.0434036579468255,1.4412914131214491,1.074445954235758
HLF,-0.297219971546959,-0.40896940993444,0.475856295023366,-1.25546942650134,,1.39118674052402,1.13549524629244,-0.557779994771619,0.468107193301337,0.397151663676245,-0.415452063682895,-0.45477696235977,-0.255815125871208,0.0112691516968562,1.0792670747668,-0.346778676365738,-0.315274557812998,,0.018977118074561,,-1.73511113121558,2.870225738314269,1.3892699297214195,2.11997149355979,-2.715372443407377,3.8633704317927022,1.2944860426357028,6.0738759855838245,3.499823270543866,2.768034618031222,2.8033785625594296,2.6746588640724833,3.4492380586870466,2.4953684009985966,2.8806187964532617,3.2577387817266374,4.160467764588864,2.9720695054916577,5.121812857875634,1.0855067854896294,5.026718594964423,4.055898215836136
